epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
77,3537.36,0.0837,0.89,1,0.44201,0.0003095,0.0003095,0.0003095
78,3580.42,0.09653,0.88714,1,0.44765,0.000297125,0.000297125,0.000297125
79,3622.4,0.07948,0.89,1,0.47203,0.00028475,0.00028475,0.00028475
80,3666.58,0.07577,0.89857,1,0.48208,0.000272375,0.000272375,0.000272375
81,3705.52,0.08506,0.89857,1,0.48571,0.00026,0.00026,0.00026
82,3745.74,0.0826,0.89714,1,0.48043,0.000247625,0.000247625,0.000247625
83,3784.5,0.08646,0.89571,1,0.47428,0.00023525,0.00023525,0.00023525
84,3825.09,0.09122,0.89429,1,0.46986,0.000222875,0.000222875,0.000222875
85,3865.97,0.0728,0.89429,1,0.46637,0.0002105,0.0002105,0.0002105
86,3909.8,0.08545,0.89571,1,0.46686,0.000198125,0.000198125,0.000198125
87,3953.17,0.07316,0.89571,1,0.49439,0.00018575,0.00018575,0.00018575
88,3991.86,0.07782,0.89714,1,0.50347,0.000173375,0.000173375,0.000173375
89,4032.87,0.07206,0.89571,1,0.49185,0.000161,0.000161,0.000161
90,4074.55,0.07309,0.89429,1,0.50306,0.000148625,0.000148625,0.000148625
91,4115.68,0.06859,0.89286,1,0.50853,0.00013625,0.00013625,0.00013625
92,4154.59,0.06573,0.89143,1,0.51543,0.000123875,0.000123875,0.000123875
93,4192.13,0.0703,0.89143,1,0.53021,0.0001115,0.0001115,0.0001115
94,4231.39,0.06593,0.89571,1,0.50816,9.9125e-05,9.9125e-05,9.9125e-05
95,4269.85,0.06588,0.89571,1,0.50183,8.675e-05,8.675e-05,8.675e-05
96,4308.85,0.07334,0.89143,1,0.51215,7.4375e-05,7.4375e-05,7.4375e-05
97,4350.01,0.06823,0.89571,1,0.51753,6.2e-05,6.2e-05,6.2e-05
98,4391.39,0.06114,0.89429,1,0.51118,4.9625e-05,4.9625e-05,4.9625e-05
99,4430.92,0.06834,0.89429,1,0.51872,3.725e-05,3.725e-05,3.725e-05
100,4470.75,0.06278,0.89429,1,0.51928,2.4875e-05,2.4875e-05,2.4875e-05
