threshold,precision_weighted,recall_weighted,f1_weighted,num_kept
0.0,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.02,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.04,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.06,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.08,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.1,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.12,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.14,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.16,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.18,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.2,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.22,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.24,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.26,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.28,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.3,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.32,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.34,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.36,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.38,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.4,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.42,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.44,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.46,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.48,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.5,0.9086534842536114,0.9084406294706724,0.9085470443952152,699
0.52,0.9096110698628314,0.9070100143061517,0.9083086799762986,697
0.54,0.9122303132678519,0.9055793991416309,0.9088926891835146,694
0.56,0.9151236455842532,0.9055793991416309,0.9103265065756555,692
0.58,0.9189909810323869,0.9027181688125894,0.9107818947096332,687
0.6,0.920948280059808,0.8969957081545065,0.9088141988987796,681
0.62,0.9233377962385989,0.8955650929899857,0.9092394148653972,678
0.64,0.9261533506697511,0.894134477825465,0.9098623081735111,675
0.66,0.9271342499712176,0.8898426323319027,0.9081057547344402,671
0.68,0.9283340370052586,0.8884120171673819,0.9079343946026346,669
0.7000000000000001,0.9292551990504888,0.882689556509299,0.9053740264618915,664
0.72,0.9303074548882061,0.8798283261802575,0.9043640365853282,661
0.74,0.9296386611280992,0.871244635193133,0.8994949287724527,655
0.76,0.9320710881783926,0.8655221745350501,0.8975647737393804,649
0.78,0.9319642028203141,0.8640915593705293,0.8967454332377777,648
0.8,0.9331532143392347,0.8612303290414879,0.8957503570472559,645
0.8200000000000001,0.9357243947237279,0.8555078683834049,0.8938199683114678,639
0.84,0.9352918518190647,0.8497854077253219,0.8904907206572056,635
0.86,0.9376044063004851,0.8412017167381974,0.8867907817339066,627
0.88,0.9388795504648667,0.8383404864091559,0.8857662221733316,624
0.9,0.93814711264645,0.8283261802575107,0.8798228849082241,617
0.92,0.9452894723206618,0.8183118741058655,0.8772295408309176,605
0.9400000000000001,0.9498222037646308,0.8097281831187411,0.8741981054631216,596
0.96,0.9533464466540921,0.7854077253218884,0.861266849769076,576
0.98,0.9565107060496351,0.748211731044349,0.8396352574039522,547
1.0,1.0,0.08869814020028613,0.16294349540078842,62
