threshold,precision_weighted,recall_weighted,f1_weighted,num_kept
0.0,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.02,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.04,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.06,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.08,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.1,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.12,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.14,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.16,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.18,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.2,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.22,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.24,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.26,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.28,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.3,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.32,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.34,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.36,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.38,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.4,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.42,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.44,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.46,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.48,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.5,0.9194293298370552,0.9198855507868383,0.9196573837317611,699
0.52,0.9219671529250089,0.9184549356223176,0.9202076929580986,696
0.54,0.9232207663319378,0.9184549356223176,0.9208316845433933,695
0.56,0.9243367043222535,0.9155937052932761,0.919944432274298,692
0.58,0.92422232202721,0.9141630901287554,0.9191651851496403,691
0.6,0.9252909519606601,0.9084406294706724,0.9167883711601293,686
0.62,0.9251784118140611,0.9070100143061517,0.9160041320773594,685
0.64,0.9248420963493345,0.9027181688125894,0.9136462195771115,682
0.66,0.929123333798239,0.9027181688125894,0.9157304420627953,679
0.68,0.9315964264055868,0.899856938483548,0.9154516563060738,675
0.7000000000000001,0.9327774723069314,0.8984263233190272,0.9152797049910749,673
0.72,0.9340705875410035,0.8969957081545065,0.9151578073467708,671
0.74,0.933970986890847,0.8955650929899857,0.9143649288177267,670
0.76,0.9337639781082172,0.8927038626609443,0.9127723921159436,668
0.78,0.9350159988066343,0.8898426323319027,0.9118701947135924,665
0.8,0.9348199686371219,0.8869814020028612,0.9102725903765739,663
0.8200000000000001,0.9345075771341508,0.882689556509299,0.9078597622056033,660
0.84,0.9383216514222763,0.876967095851216,0.9066075188953238,653
0.86,0.942198233438899,0.8669527896995708,0.9030107232428003,643
0.88,0.9447299449885511,0.8597997138769671,0.9002662077638856,636
0.9,0.9485332893428328,0.8497854077253219,0.8964481649880676,626
0.92,0.952461552905064,0.8369098712446352,0.8909547395796065,614
0.9400000000000001,0.9547679787082247,0.821173104434907,0.882945715409958,601
0.96,0.9567970238854291,0.7982832618025751,0.8703818911746747,583
0.98,0.9616159412553786,0.7582260371959942,0.8478944619075967,551
1.0,1.0,0.1072961373390558,0.1937984496124031,75
