threshold,precision_weighted,recall_weighted,f1_weighted,num_kept
0.0,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.02,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.04,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.06,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.08,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.1,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.12,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.14,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.16,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.18,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.2,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.22,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.24,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.26,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.28,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.3,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.32,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.34,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.36,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.38,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.4,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.42,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.44,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.46,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.48,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.5,0.9147405380738217,0.9141630901287554,0.9144517229411739,699
0.52,0.9170065049791283,0.9127324749642346,0.9148644981852113,696
0.54,0.9193931388637853,0.9113018597997139,0.9153296184731301,693
0.56,0.9216118254828808,0.9070100143061517,0.914252621102223,688
0.58,0.9227737649300848,0.9041487839771102,0.9133663361334957,685
0.6,0.9240379500524646,0.899856938483548,0.9117871495810231,681
0.62,0.9239103731770633,0.8984263233190272,0.9109901603208593,680
0.64,0.9235579435345137,0.894134477825465,0.908608067987596,677
0.66,0.9246236743336173,0.8884120171673819,0.9061562190817936,672
0.68,0.9258358660765714,0.8855507868383404,0.905245358154659,669
0.7000000000000001,0.9273694201962224,0.8841201716738197,0.9052285088124928,667
0.72,0.9270249105884654,0.8798283261802575,0.9028102103843999,664
0.74,0.9279913756900207,0.876967095851216,0.9017580343762046,661
0.76,0.9307164845782314,0.8683834048640916,0.8984701234034431,653
0.78,0.9314967578333871,0.8640915593705293,0.8965289853057508,649
0.8,0.9383763527119299,0.8626609442060086,0.8989271147647396,643
0.8200000000000001,0.9379659386648108,0.8569384835479256,0.8956232979894722,639
0.84,0.942146116302059,0.8512160228898427,0.8943758235702708,632
0.86,0.9417961861824041,0.8454935622317596,0.8910503885093912,628
0.88,0.9470901005646678,0.8383404864091559,0.8894033533125763,619
0.9,0.9481991241623503,0.8340486409155937,0.8874682929288209,615
0.92,0.94929540287321,0.8240343347639485,0.8822408931611307,607
0.9400000000000001,0.9549354324962844,0.8111587982832618,0.8771947321518467,594
0.96,0.9613823699736181,0.7854077253218884,0.8645310531576015,571
0.98,0.9702826193081406,0.7453505007153076,0.8430714325762125,537
1.0,1.0,0.04864091559370529,0.0927694406548431,34
