epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,92.6465,0.87925,0.87429,1,0.33338,0.000413486,0.000413486,0.000413486
2,123.023,0.44215,0.9,1,0.28489,0.000821934,0.000821934,0.000821934
3,151.182,0.3911,0.88857,1,0.37834,0.00122213,0.00122213,0.00122213
4,180.134,0.41022,0.89429,1,0.30071,0.00121287,0.00121287,0.00121287
5,207.732,0.37181,0.89857,1,0.2981,0.0012005,0.0012005,0.0012005
6,236.508,0.35049,0.90857,1,0.26024,0.00118812,0.00118812,0.00118812
7,266.13,0.29419,0.90571,1,0.26801,0.00117575,0.00117575,0.00117575
8,295.698,0.28666,0.88571,1,0.31929,0.00116337,0.00116337,0.00116337
9,323.46,0.27571,0.90571,1,0.26431,0.001151,0.001151,0.001151
10,352.404,0.25841,0.89,1,0.32749,0.00113863,0.00113863,0.00113863
11,382.387,0.26593,0.9,1,0.27079,0.00112625,0.00112625,0.00112625
12,413.187,0.22325,0.89857,1,0.28362,0.00111388,0.00111388,0.00111388
13,443.943,0.24352,0.90286,1,0.28364,0.0011015,0.0011015,0.0011015
14,472.477,0.25941,0.88857,1,0.29605,0.00108913,0.00108913,0.00108913
15,501.848,0.21735,0.89571,1,0.28708,0.00107675,0.00107675,0.00107675
16,531.328,0.20086,0.89143,1,0.31642,0.00106437,0.00106437,0.00106437
17,559.671,0.20311,0.90857,1,0.30318,0.001052,0.001052,0.001052
18,588.157,0.18087,0.89857,1,0.30961,0.00103962,0.00103962,0.00103962
19,617.861,0.18362,0.89143,1,0.3812,0.00102725,0.00102725,0.00102725
20,647.477,0.16888,0.89429,1,0.32359,0.00101488,0.00101488,0.00101488
21,676.432,0.17989,0.89,1,0.32082,0.0010025,0.0010025,0.0010025
22,705.886,0.15306,0.89,1,0.40025,0.000990125,0.000990125,0.000990125
23,734.888,0.19814,0.90857,1,0.29952,0.00097775,0.00097775,0.00097775
24,765.298,0.15638,0.88,1,0.38944,0.000965375,0.000965375,0.000965375
25,796.307,0.16467,0.90143,1,0.36518,0.000953,0.000953,0.000953
26,825.16,0.15369,0.90143,1,0.35651,0.000940625,0.000940625,0.000940625
27,854.593,0.15538,0.9,1,0.32206,0.00092825,0.00092825,0.00092825
28,884.165,0.13838,0.89714,1,0.3639,0.000915875,0.000915875,0.000915875
29,912.879,0.13703,0.91,1,0.35356,0.0009035,0.0009035,0.0009035
30,941.443,0.14236,0.9,1,0.39203,0.000891125,0.000891125,0.000891125
31,972.178,0.13965,0.89857,1,0.36842,0.00087875,0.00087875,0.00087875
32,1003.84,0.13799,0.90857,1,0.34657,0.000866375,0.000866375,0.000866375
33,1033.56,0.12838,0.90714,1,0.35747,0.000854,0.000854,0.000854
34,1064.75,0.16874,0.89143,1,0.39577,0.000841625,0.000841625,0.000841625
35,1095.13,0.14913,0.89571,1,0.37185,0.00082925,0.00082925,0.00082925
36,1125.67,0.11495,0.89143,1,0.34673,0.000816875,0.000816875,0.000816875
37,1156.47,0.12453,0.90571,1,0.35227,0.0008045,0.0008045,0.0008045
38,1186.15,0.11569,0.90286,1,0.37814,0.000792125,0.000792125,0.000792125
39,1216.79,0.13101,0.89857,1,0.40833,0.00077975,0.00077975,0.00077975
40,1246.85,0.09809,0.89,1,0.37912,0.000767375,0.000767375,0.000767375
41,1277.35,0.11276,0.89571,1,0.40312,0.000755,0.000755,0.000755
42,1308.63,0.11635,0.89857,1,0.3912,0.000742625,0.000742625,0.000742625
43,1340.56,0.10596,0.90429,1,0.40271,0.00073025,0.00073025,0.00073025
44,1372.17,0.10165,0.89429,1,0.40717,0.000717875,0.000717875,0.000717875
45,1402.05,0.10978,0.89143,1,0.42827,0.0007055,0.0007055,0.0007055
46,1432.26,0.1107,0.89857,1,0.41906,0.000693125,0.000693125,0.000693125
47,1462,0.09588,0.89571,1,0.43753,0.00068075,0.00068075,0.00068075
48,1492.86,0.11222,0.90286,1,0.41268,0.000668375,0.000668375,0.000668375
49,1522.64,0.11196,0.90286,1,0.41703,0.000656,0.000656,0.000656
50,1552.42,0.10827,0.89714,1,0.41019,0.000643625,0.000643625,0.000643625
51,1582.58,0.091,0.90143,1,0.4537,0.00063125,0.00063125,0.00063125
52,1612.63,0.10737,0.89429,1,0.43767,0.000618875,0.000618875,0.000618875
53,1642.81,0.09131,0.90429,1,0.40314,0.0006065,0.0006065,0.0006065
54,1673.25,0.09878,0.90714,1,0.4092,0.000594125,0.000594125,0.000594125
55,1703.98,0.09286,0.9,1,0.42731,0.00058175,0.00058175,0.00058175
56,1733.67,0.07859,0.9,1,0.42668,0.000569375,0.000569375,0.000569375
57,1763.01,0.08625,0.89286,1,0.45686,0.000557,0.000557,0.000557
58,1793.32,0.10573,0.89857,1,0.43171,0.000544625,0.000544625,0.000544625
59,1824.5,0.08713,0.89857,1,0.43384,0.00053225,0.00053225,0.00053225
60,1856.3,0.0773,0.89714,1,0.42996,0.000519875,0.000519875,0.000519875
61,1887.61,0.08586,0.89571,1,0.41758,0.0005075,0.0005075,0.0005075
62,1918.27,0.07559,0.89714,1,0.42916,0.000495125,0.000495125,0.000495125
63,1949.05,0.07259,0.90571,1,0.43495,0.00048275,0.00048275,0.00048275
64,1980.1,0.07363,0.90143,1,0.46105,0.000470375,0.000470375,0.000470375
65,2010.11,0.08162,0.90714,1,0.46907,0.000458,0.000458,0.000458
66,2040.2,0.08101,0.9,1,0.44283,0.000445625,0.000445625,0.000445625
67,2071.79,0.07063,0.90143,1,0.48553,0.00043325,0.00043325,0.00043325
68,2101.76,0.07827,0.90714,1,0.48057,0.000420875,0.000420875,0.000420875
69,2129.71,0.0832,0.89143,1,0.48912,0.0004085,0.0004085,0.0004085
70,2160.26,0.07144,0.89,1,0.50691,0.000396125,0.000396125,0.000396125
71,2189.46,0.07765,0.89857,1,0.46855,0.00038375,0.00038375,0.00038375
72,2218.8,0.0581,0.89143,1,0.48331,0.000371375,0.000371375,0.000371375
73,2247.12,0.06616,0.9,1,0.48463,0.000359,0.000359,0.000359
74,2301.33,0.06245,0.88857,1,0.49516,0.000346625,0.000346625,0.000346625
75,2363.56,0.07307,0.89714,1,0.49086,0.00033425,0.00033425,0.00033425
76,2394.11,0.07039,0.89714,1,0.49754,0.000321875,0.000321875,0.000321875
77,2432.59,0.06248,0.89571,1,0.48309,0.0003095,0.0003095,0.0003095
78,2472.86,0.06971,0.89714,1,0.50708,0.000297125,0.000297125,0.000297125
79,2511.67,0.06434,0.89714,1,0.5206,0.00028475,0.00028475,0.00028475
80,2547.41,0.06558,0.89714,1,0.51578,0.000272375,0.000272375,0.000272375
81,2582.14,0.0654,0.9,1,0.50784,0.00026,0.00026,0.00026
82,2617.65,0.06346,0.89429,1,0.48249,0.000247625,0.000247625,0.000247625
83,2651.18,0.06639,0.9,1,0.47717,0.00023525,0.00023525,0.00023525
84,2689.62,0.06828,0.9,1,0.48397,0.000222875,0.000222875,0.000222875
85,2725.5,0.05755,0.89571,1,0.50554,0.0002105,0.0002105,0.0002105
86,2761.33,0.06023,0.9,1,0.51164,0.000198125,0.000198125,0.000198125
87,2796.46,0.0556,0.89429,1,0.50586,0.00018575,0.00018575,0.00018575
88,2832.59,0.05658,0.89714,1,0.51008,0.000173375,0.000173375,0.000173375
89,2870.36,0.06144,0.89714,1,0.50335,0.000161,0.000161,0.000161
90,2906.35,0.05648,0.9,1,0.48947,0.000148625,0.000148625,0.000148625
91,2942.62,0.06397,0.89429,1,0.49991,0.00013625,0.00013625,0.00013625
92,2978.46,0.04715,0.89857,1,0.49551,0.000123875,0.000123875,0.000123875
93,3015.71,0.05405,0.89857,1,0.50798,0.0001115,0.0001115,0.0001115
94,3053.8,0.05319,0.89429,1,0.50369,9.9125e-05,9.9125e-05,9.9125e-05
95,3091.02,0.05796,0.90143,1,0.48522,8.675e-05,8.675e-05,8.675e-05
96,3128.41,0.04832,0.89714,1,0.50513,7.4375e-05,7.4375e-05,7.4375e-05
97,3164.16,0.05193,0.9,1,0.49146,6.2e-05,6.2e-05,6.2e-05
98,3203.31,0.05315,0.90286,1,0.49913,4.9625e-05,4.9625e-05,4.9625e-05
99,3239.99,0.04956,0.90143,1,0.50895,3.725e-05,3.725e-05,3.725e-05
100,3276.49,0.04809,0.9,1,0.5076,2.4875e-05,2.4875e-05,2.4875e-05
