,precision,recall,f1-score,support
Class A,0.9527027027027027,0.986013986013986,0.9690721649484536,286.0
Class B,0.875,0.8588957055214724,0.8668730650154799,163.0
Class C,0.8558558558558559,0.8482142857142857,0.852017937219731,112.0
Class D,0.9545454545454546,0.9130434782608695,0.9333333333333333,138.0
accuracy,0.9198855507868383,0.9198855507868383,0.9198855507868383,0.9198855507868383
macro avg,0.9095260032760033,0.9015418638776534,0.9053241251292494,699.0
weighted avg,0.9194293298370552,0.9198855507868383,0.919429124093549,699.0
