,precision,recall,f1-score,support
Class A,0.9218241042345277,0.9895104895104895,0.954468802698145,286.0
Class B,0.8851351351351351,0.803680981595092,0.842443729903537,163.0
Class C,0.8448275862068966,0.875,0.8596491228070176,112.0
Class D,0.9609375,0.8913043478260869,0.924812030075188,138.0
accuracy,0.9084406294706724,0.9084406294706724,0.9084406294706724,0.9084406294706724
macro avg,0.9031810813941399,0.8898739547329171,0.8953434213709719,699.0
weighted avg,0.9086534842536114,0.9084406294706724,0.9072978075117423,699.0
