Method,Accuracy,Precision_macro,Recall_macro,F1_macro,Precision_weighted,Recall_weighted,F1_weighted,Num_test_images
Method 1 Raw,0.9141630901287554,0.90206020947597,0.9041494842625144,0.9021710425150333,0.9147405380738217,0.9141630901287554,0.9137089682215492,699
Method 2 Masked + CLAHE,0.9198855507868383,0.9095260032760033,0.9015418638776534,0.9053241251292494,0.9194293298370552,0.9198855507868383,0.919429124093549,699
Method 3 Isolated + CLAHE,0.9084406294706724,0.9031810813941399,0.8898739547329171,0.8953434213709719,0.9086534842536114,0.9084406294706724,0.9072978075117423,699
