,precision,recall,f1-score,support
Class A,0.9518900343642611,0.9685314685314685,0.9601386481802426,286.0
Class B,0.8859060402684564,0.8098159509202454,0.8461538461538461,163.0
Class C,0.8292682926829268,0.9107142857142857,0.8680851063829788,112.0
Class D,0.9411764705882353,0.927536231884058,0.9343065693430657,138.0
accuracy,0.9141630901287554,0.9141630901287554,0.9141630901287554,0.9141630901287554
macro avg,0.90206020947597,0.9041494842625144,0.9021710425150333,699.0
weighted avg,0.9147405380738217,0.9141630901287554,0.9137089682215492,699.0
